town,date,tmax_c,grid_lat,grid_lon
ocotepeque,2005-07-02,28.777,14.25,270.75
copan,2005-07-02,27.346,14.75,271.25
comayagua,2005-07-03,26.415,14.25,272.25
ocotepeque,2005-07-03,25.888,14.25,270.75
copan,2005-07-03,25.464,14.75,271.25
comayagua,2005-07-04,27.308,14.25,272.25
ocotepeque,2005-07-04,28.102,14.25,270.75
copan,2005-07-04,27.262,14.75,271.25
comayagua,2005-07-05,29.178,14.25,272.25
ocotepeque,2005-07-05,29.556,14.25,270.75
copan,2005-07-05,27.491,14.75,271.25
comayagua,2005-07-06,28.575,14.25,272.25
ocotepeque,2005-07-06,29.504,14.25,270.75
copan,2005-07-06,25.203,14.75,271.25
comayagua,2005-07-07,28.953,14.25,272.25
ocotepeque,2005-07-07,30.432,14.25,270.75
copan,2005-07-07,27.455,14.75,271.25
comayagua,2005-07-08,29.415,14.25,272.25
ocotepeque,2005-07-08,30.07,14.25,270.75
copan,2005-07-08,27.86,14.75,271.25
comayagua,2005-07-09,28.752,14.25,272.25
ocotepeque,2005-07-09,29.408,14.25,270.75
copan,2005-07-09,27.835,14.75,271.25
comayagua,2005-07-10,24.985,14.25,272.25
ocotepeque,2005-07-10,27.797,14.25,270.75
copan,2005-07-10,23.111,14.75,271.25
comayagua,2005-07-11,28.778,14.25,272.25
ocotepeque,2005-07-11,29.427,14.25,270.75
copan,2005-07-11,27.992,14.75,271.25
